brand,generic,source,verified
Ace,Paracetamol,bd_dataset,true
Aceta,Paracetamol,bd_dataset,true
Alatrol,Cetirizine Hydrochloride,bd_dataset,true
Amodis,Metronidazole,bd_dataset,true
Atrizin,Cetirizine Hydrochloride,bd_dataset,true
Axodin,Fexofenadine Hydrochloride,bd_dataset,true
Az,Azithromycin Dihydrate,bd_dataset,true
Azithrocin,Azithromycin Dihydrate,bd_dataset,true
Azyth,Azithromycin Dihydrate,bd_dataset,true
Bacaid,Baclofen,bd_dataset,true
Backtone,Baclofen,bd_dataset,true
Baclofen,Baclofen,bd_dataset,true
Baclon,Baclofen,bd_dataset,true
Bacmax,Baclofen,bd_dataset,true
Beklo,Baclofen,bd_dataset,true
Bicozin,Vitamin B Complex + Zinc,bd_dataset,true
Canazole,Fluconazole,bd_dataset,true
Candinil,Fluconazole,bd_dataset,true
Cetisoft,Cetirizine Hydrochloride,bd_dataset,true
Conaz,Fluconazole,bd_dataset,true
Dancel,Ketoconazole (Shampoo),bd_dataset,true
Denixil,Clonazepam,bd_dataset,true
Diflu,Fluconazole,bd_dataset,true
Dinafex,Fexofenadine Hydrochloride,bd_dataset,true
Disopan,Clonazepam,bd_dataset,true
Esonix,Esomeprazole,bd_dataset,true
Esoral,Esomeprazole,bd_dataset,true
Etizin,Cetirizine Hydrochloride,bd_dataset,true
Exium,Esomeprazole,bd_dataset,true
Fenadin,Fexofenadine Hydrochloride,bd_dataset,true
Fexo,Fexofenadine Hydrochloride,bd_dataset,true
Fexofast,Fexofenadine Hydrochloride,bd_dataset,true
Filmet,Metronidazole,bd_dataset,true
Fixal,Fexofenadine Hydrochloride,bd_dataset,true
Flamyd,Metronidazole,bd_dataset,true
Flexibac,Baclofen,bd_dataset,true
Flexilax,Baclofen,bd_dataset,true
Flugal,Fluconazole,bd_dataset,true
Ketocon,Ketoconazole (Shampoo),bd_dataset,true
Ketoral,Ketoconazole (Tablet),bd_dataset,true
Ketotab,Ketoconazole (Tablet),bd_dataset,true
Ketozol,Ketoconazole (Shampoo),bd_dataset,true
Leptic,Clonazepam,bd_dataset,true
Lucan-R,Fluconazole,bd_dataset,true
Lumona,Montelukast Sodium,bd_dataset,true
M-Kast,Montelukast Sodium,bd_dataset,true
Maxima,Esomeprazole,bd_dataset,true
Maxpro,Esomeprazole,bd_dataset,true
Metro,Metronidazole,bd_dataset,true
Metsina,Metronidazole,bd_dataset,true
Monas,Montelukast Sodium,bd_dataset,true
Montair,Montelukast Sodium,bd_dataset,true
Montene,Montelukast Sodium,bd_dataset,true
Montex,Montelukast Sodium,bd_dataset,true
Napa,Paracetamol,bd_dataset,true
Napa Extend,Paracetamol,bd_dataset,true
Nexcap,Esomeprazole,bd_dataset,true
Nexum,Esomeprazole,bd_dataset,true
Nidazyl,Metronidazole,bd_dataset,true
Nizoder,Ketoconazole (Cream),bd_dataset,true
Odmon,Montelukast Sodium,bd_dataset,true
Omastin,Fluconazole,bd_dataset,true
Opton,Esomeprazole,bd_dataset,true
Progut,Esomeprazole,bd_dataset,true
Provair,Montelukast Sodium,bd_dataset,true
Renova,Paracetamol,bd_dataset,true
Rhinil,Cetirizine Hydrochloride,bd_dataset,true
Ritch,Fexofenadine Hydrochloride,bd_dataset,true
Rivotril,Clonazepam,bd_dataset,true
Romycin,Azithromycin Dihydrate (Ophthalmic),bd_dataset,true
Rozith,Azithromycin Dihydrate,bd_dataset,true
Sergel,Esomeprazole,bd_dataset,true
Tamen,Paracetamol,bd_dataset,true
Telfast,Fexofenadine Hydrochloride,bd_dataset,true
Tridosil,Azithromycin Dihydrate,bd_dataset,true
Trilock,Montelukast Sodium,bd_dataset,true
Vifas,Fexofenadine Hydrochloride,bd_dataset,true
Zithrin,Azithromycin Dihydrate,bd_dataset,true
